nuts3,year,yield_tha
EL543,2022,9.427691241597135
EL543,2023,7.514864177734828
EL621,2018,
EL621,2019,4.8885824837592775
EL621,2020,3.2709651127466013
EL621,2021,2.553498869811565
EL621,2022,2.595228618318757
EL621,2023,10.367455553328506
EL622,2018,
EL622,2019,11.814054131543552
EL622,2020,7.319478651788173
EL622,2021,4.362959362872093
EL622,2022,5.4523215425045874
EL622,2023,13.407829052837016
EL623,2018,
EL623,2019,3.5578988816673056
EL623,2020,0.8799726647128309
EL623,2021,0.6684665484640072
EL623,2022,1.1333605869316399
EL623,2023,4.819321034874161
EL624,2018,
EL624,2019,6.813811741465437
EL624,2020,3.085668264833491
EL624,2021,2.9759103318656024
EL624,2022,3.5577734499177485
EL624,2023,7.813889077512927
EL631,2018,
EL631,2019,5.230632748750522
EL631,2020,1.598959976554952
EL631,2021,2.823860665590848
EL631,2022,5.131348126794309
EL631,2023,10.870498661723712
EL632,2018,
EL632,2019,2.541667180195214
EL632,2020,0.5869828429063136
EL632,2021,2.279525840712168
EL632,2022,5.705037729480811
EL632,2023,9.057356690923395
EL641,2018,
EL641,2019,0.7303255416350707
EL641,2020,3.6691653652192873
EL641,2021,1.850484856682423
EL641,2022,1.068986279960022
EL641,2023,8.929778875537338
EL642,2018,
EL642,2019,0.5687072347472852
EL642,2020,2.3887609049336236
EL642,2021,1.5283140303829197
EL642,2022,1.081871828769622
EL642,2023,2.309262248535741
EL643,2018,
EL643,2019,5.732724166919341
EL643,2020,6.705377446923785
EL643,2021,2.373438666070154
EL643,2022,10.288982689354082
EL643,2023,7.9475301344998845
EL645,2018,
EL645,2019,7.066266387131499
EL645,2020,9.128046737629186
EL645,2021,2.602084779833557
EL645,2022,11.435305263890507
EL645,2023,13.981424113529654
EL651,2018,
EL651,2019,0.6000015774413756
EL651,2020,1.312703173106054
EL651,2021,2.022423988376546
EL651,2022,0.6234554069101421
EL651,2023,7.026985211035591
EL652,2018,
EL652,2019,0.5675416921372384
EL652,2020,0.5567310165774818
EL652,2021,0.9620420708230266
EL652,2022,0.8404889484479116
EL652,2023,2.45920382849927
EL653,2018,
EL653,2019,0.4929920735332191
EL653,2020,1.6797656403507462
EL653,2021,1.269617780925084
EL653,2022,2.480269861633563
EL653,2023,7.633651540364708
ES111,2018,
ES111,2019,6.827705372617762
ES111,2020,4.901838829218783
ES111,2021,6.0892677825262105
ES111,2022,10.485423614690609
ES111,2023,10.436709535852241
ES113,2018,
ES113,2019,2.6253120868804483
ES113,2020,1.3439619158561296
ES113,2021,2.85603746663361
ES113,2022,4.701427411875211
ES113,2023,7.397901486004913
ES114,2018,
ES114,2019,6.8976410683728995
ES114,2020,6.477856272978375
ES114,2021,6.196001263457742
ES114,2022,12.792629617429098
ES114,2023,12.585278801473507
ES120,2018,
ES120,2019,18.381552572525493
ES120,2020,14.985012937000137
ES120,2021,14.136771422548984
ES120,2022,18.78266966865212
ES120,2023,18.25809477580381
ES130,2018,
ES130,2019,18.48179885036063
ES130,2020,9.80619545708623
ES130,2021,16.80348226396158
ES130,2022,13.885295839151949
ES130,2023,17.416187787164173
ES212,2018,
ES212,2019,12.16346744819327
ES212,2020,9.778437045006784
ES212,2021,12.517541088844402
ES212,2022,11.016059919567887
ES212,2023,15.384119134384798
ES213,2018,
ES213,2019,13.70834000781289
ES213,2020,10.961558476754972
ES213,2021,14.229659943527912
ES213,2022,8.537200596165421
ES213,2023,14.260635510578409
ES241,2018,
ES241,2019,4.899015132441543
ES241,2020,11.338288957269455
ES241,2021,8.838429623701261
ES241,2022,2.456711654921188
ES241,2023,9.097899746630269
ES242,2018,
ES242,2019,0.2105858971501747
ES242,2020,1.8278680043644122
ES242,2021,1.6443926798900192
ES242,2022,0.7783476782877108
ES242,2023,3.7875336427255144
ES417,2018,
ES417,2019,0.30434623006975425
ES417,2020,1.804874799071567
ES417,2021,4.524585366328509
ES417,2022,0.5179820110249949
ES417,2023,0.3029019999080775
ES421,2018,
ES421,2019,0.7304890757248683
ES421,2020,1.6251000924854593
ES421,2021,5.684094729224386
ES421,2022,0.7890797678084362
ES421,2023,2.244514946397429
ES423,2018,
ES423,2019,0.29961923786290245
