nuts3,constraints,lon,lat
DEC05,soil_depth,7.242151559554392,49.24862318379879
DED42,gdd,12.944674502036438,50.60893371669357
DEE06,sandy_texture,12.026167606965068,52.26051515901522
DEE0D,sandy_texture,11.839687680102834,52.69641908258901
DEE0E,sandy_texture,12.701907777322411,51.820166143011015
DEG03,soil_depth,11.587016642386597,50.92425199975101
DEG04,gdd,10.68816480300669,50.611610141146485
DK011,drainage,12.589296242264032,55.644266963710045
DK014,soil_moisture,14.911785199275942,55.124272922536036
DK032,sandy_texture,9.077286563537221,55.389700292393954
DK041,sandy_texture,8.858270267255087,56.28420447414314
EE001,frost_damage; gdd,24.92038945220444,59.307932391999614
EE004,drainage; frost_damage; gdd,23.686765526499904,58.55083554744253
EE006,frost_damage; gdd,25.609401152249674,59.057290251622675
EE007,frost_damage; gdd,27.347934673533384,59.16809653493675
EE008,frost_damage; gdd,26.484324038890968,58.24430266959726
EL302,slope; soil_depth; dryness,23.670973523107488,38.02034717028571
EL303,slope; soil_depth,23.757086712886903,37.97481969784553
EL304,slope,23.74177191545059,37.9100217864915
EL305,dryness,23.888615895985748,38.03488144242918
EL306,soil_depth,23.396778406153675,38.09505679415141
EL307,slope; soil_depth,23.284145704606622,37.17541248596784
EL412,slope,26.576733489202734,37.68083463386804
EL413,slope; soil_depth,25.999373217285765,38.41233370678305
EL422,slope; soil_depth,25.06279836026278,37.1932230133761
EL432,slope; soil_depth,25.835607794889288,35.14077370930959
EL433,slope; soil_depth,24.626299933203132,35.265654485613254
EL434,slope; soil_depth,23.92159339553928,35.37315267397061
EL515,soil_depth,24.43488886892234,40.90645640077199
EL521,dryness,22.23255498609742,40.55090393894259
EL522,dryness,23.11624379427283,40.68980793725934
EL523,dryness,22.759089617803085,41.02654339230975
EL524,dryness,22.130827222363585,40.88529699630519
EL525,dryness,22.440545194581503,40.2606068773677
EL532,slope,21.157206856078957,40.46385204516491
EL541,slope; salinity,20.954558409950497,39.24294558030828
EL542,slope,20.407285641392292,39.523462717036196
EL543,slope; soil_depth,20.80822014702714,39.81109428569264
EL612,dryness,22.39854241729929,39.70326927088049
EL621,soil_depth,20.775557114886997,37.78316606842915
EL622,soil_moisture,19.850172764455195,39.622841377262375
EL623,slope; soil_depth,20.59829457422384,38.247995338965374
EL624,slope; soil_depth,20.678379843673724,38.69556529161111
EL631,slope,21.38172874655,38.68124297148358
EL632,slope; salinity,21.900703707491864,38.05960899067556
EL641,soil_depth,23.089185491780615,38.370061743026774
EL642,slope,23.81752083410314,38.561821740891915
EL643,slope,21.676310412412644,38.97466338907164
EL645,slope; soil_depth,22.253916514785125,38.538998250082535
EL651,slope; soil_depth,22.505155997500562,37.50839959774857
EL652,slope,22.707013204919914,37.913561522992566
EL653,soil_depth,22.326062066575716,36.97923963948802
ELZZZ,slope,24.197118825046402,40.266856165378144
ES111,soil_moisture,-8.465849705398481,43.12536786415323
ES113,soil_depth,-7.5921994711299154,42.19677328488448
ES114,soil_moisture,-8.462051362670778,42.43494006804491
ES120,slope; soil_depth; soil_moisture,-5.993435167254174,43.29398567790084
ES130,slope; soil_moisture,-4.029934576651746,43.19782902052846
ES212,slope; soil_moisture,-2.194777164103118,43.1435193760293
ES213,slope,-2.8514483947645215,43.237992397105806
ES241,salinity,-0.07183894013799265,42.201983570906435
ES242,soil_depth,-0.8170250370179925,40.66090598629404
ES243,dryness,-1.0639399981690338,41.61969852252451
ES300,dryness,-3.716556483301674,40.49452571619836
ES411,dryness,-4.946122970563393,40.57066547815352
ES413,gdd,-5.840504442503025,42.62056061714202
ES415,dryness,-6.06588534393096,40.805199565520404
ES417,soil_depth,-2.5888700052205023,41.62069965622153
ES418,dryness,-4.846458391259853,41.633656112185115
ES419,dryness,-5.978701337660724,41.726862911170535
ES421,soil_depth; acidity; dryness,-1.9807159365093552,38.825313809391076
ES422,dryness,-3.8276163982997935,38.926443630539154
ES423,soil_depth; dryness,-2.1953183935280727,39.895616326928405
ES425,dryness,-4.146839073472656,39.79505238039688
ES431,dryness,-6.142922648600529,38.71044632047011
ES432,dryness,-6.1603232975457995,39.71194516816626
ES511,soil_depth,1.9834190627078088,41.730565711493384
ES513,soil_depth,1.0463596330314326,42.042072401759114
ES514,soil_depth,0.8160694831289486,41.08741858009206
ES521,acidity; dryness,-0.5699960419458179,38.478237946555716
ES522,soil_depth,-0.1481167379176448,40.24074377551272
ES523,soil_depth; dryness,-0.7995910936020668,39.36932993621079
ES531,soil_depth,1.4162958926111155,38.946413208371176
ES532,soil_depth,2.9562041722400294,39.6118511025431
ES533,soil_depth,4.073781153207816,39.960133114127785
ES611,dryness,-2.345912248323446,37.19562221773399
ES614,soil_depth; dryness,-3.270632884046936,37.312641132346215
ES616,dryness,-3.442681170028071,38.016809050719324
ES617,soil_depth,-4.726707744203039,36.814173796315025
ES620,acidity; dryness,-1.485489838153223,38.001673705985155
FI193,acidity; frost_damage; gdd,25.42400912173599,62.511338694141266
FI194,acidity; frost_damage; gdd,23.048141919204788,62.73514485525245
FI195,drainage; acidity; frost_damage; gdd,22.131228231546796,63.077871877333195
FI196,frost_damage; gdd,22.14683134079056,61.52482257713071
FI197,frost_damage; gdd,23.67354656034282,61.69058271990696
FI1B1,frost_damage; gdd,24.75913947752372,60.36615318906541
FI1C1,frost_damage; gdd,22.54187305535166,60.55543967867129
FI1C2,frost_damage; gdd,24.323494817925532,60.91893206412356
FI1C3,frost_damage; gdd,25.70200370477392,61.20921193872867
FI1C4,frost_damage; gdd,26.889025468141536,60.8209091519949
FI1C5,frost_damage; gdd,28.370165294537635,61.20125350412689
FI1D1,acidity; frost_damage; gdd,27.846266759565005,61.88567233876279
FI1D2,acidity; frost_damage; gdd,27.484760144535716,63.15070871008563
FI1D3,acidity; soil_moisture; frost_damage; gdd,29.945606376617906,62.91095457609556
FI1D4,drainage; acidity; soil_moisture; frost_damage; om_peat; gdd,28.582578974605983,64.51701719003206
FI1D5,acidity; frost_damage; gdd,24.06864953468013,63.606901295702144
FI1D6,acidity; frost_damage; gdd,26.540036911997483,64.95197526466869
FI1D7,acidity; soil_moisture; frost_damage; gdd,26.318986297247676,67.6860838815874
FI200,soil_depth; gdd,20.128862776493722,60.21881797053468
FR213,soil_depth,4.238807574268373,48.949286717546194
FR431,soil_moisture,6.361726620387238,47.16545088158887
FR432,soil_moisture,5.697774364500742,46.72835103374293
FR434,soil_moisture,6.928769543739837,47.63157046120166
FR515,salinity,-1.2975831524622528,46.67500161110062
FR522,soil_moisture,-4.059159137523032,48.26116496444673
FR532,salinity,-0.674279074213789,45.78093768423142
FR621,slope; gdd,1.5038782270092874,42.92096728689331
FR626,soil_moisture; frost_damage; gdd,0.16386361839135938,43.053239804788426
FR631,soil_moisture,1.8770122084842387,45.357084256168555
FR713,soil_depth,5.1680351619245855,44.6841484104683
FR714,frost_damage,5.576166693269278,45.26331434571965
FR717,slope; soil_depth; soil_moisture; frost_damage; gdd,6.443628106490604,45.47758905948389
FR718,slope; soil_moisture; gdd,6.432545563343456,46.05254296513081
FR722,soil_moisture; gdd,2.668687791592832,45.051116785582686
FR812,soil_depth,4.180180234597134,43.99356666054526
FR813,soil_depth,3.3648574447873845,43.58177463030318
FR814,soil_moisture; gdd,3.500211857158734,44.517093773487574
FR815,gdd,2.5183146976135453,42.59833099385073
FR821,slope; soil_depth; frost_damage; gdd,6.243823631806323,44.1060949972823
FR822,slope; soil_depth; soil_moisture; frost_damage; gdd,6.263374988556586,44.66383485194461
FR823,slope; soil_depth; soil_moisture; frost_damage; gdd,7.116287702612686,43.93771985765551
FR824,salinity,5.086549016338356,43.54329653129359
FR826,soil_depth,5.17820605154648,44.0069556589701
FR831,slope,8.988447576814696,41.863419118872706
FR832,slope; salinity,9.206368282895513,42.39425370033583
HR031,soil_depth; soil_moisture,14.645606611680256,45.23151168087596
HR032,soil_depth; soil_moisture,15.41207238394386,44.68754131513146
HR033,soil_depth,15.588664932351524,44.19070587797777
HR034,soil_depth,16.05700275854412,43.88733972944873
HR035,soil_depth,16.708980782052983,43.4925673204667
HR036,soil_moisture,13.892864308036323,45.19926193786945
HR037,slope; soil_depth,17.565732479141648,42.86716802366169
IE011,drainage; soil_moisture,-7.736028008521184,54.415527944265556
IE013,soil_moisture,-8.992350950028065,53.647330382173344
IE023,soil_moisture,-8.68266168514126,52.728833876210935
IE024,soil_moisture,-7.253919330241565,52.455548845824104
IE025,soil_moisture,-9.180300435319895,51.99382370709412
ITC11,gdd,7.438318096856614,45.14442453203356
ITC13,soil_moisture; gdd,8.094860357391104,45.58224425425566
ITC14,slope; soil_moisture; frost_damage; gdd,8.342448590060593,46.089633325876626
ITC16,gdd,7.5879728756788305,44.47698202295223
