nuts3,constraints,lon,lat
EL541,slope; salinity,20.953542872403357,39.242154485012264
EL542,slope,20.407177474988504,39.52340448552754
EL543,slope; soil_depth,20.808227198865723,39.81107038971284
EL612,dryness,22.398549417597682,39.703363097181054
EL621,soil_depth,20.775748677579294,37.78316392414104
EL622,soil_moisture,19.85031332762751,39.62256640793712
EL623,slope; soil_depth,20.59819337166174,38.24768166600692
EL624,slope; soil_depth,20.677745294667808,38.69593542248616
EL631,slope,21.381440713554817,38.68115010293501
EL632,slope; salinity,21.900345265838485,38.05954388572341
EL641,soil_depth,23.089413258252314,38.369968341508105
EL642,slope,23.817142611815786,38.56206238120651
EL643,slope,21.676004887563963,38.97480962028633
EL645,slope; soil_depth,22.253761156409013,38.53899069251316
EL651,slope; soil_depth,22.505367122091208,37.508413511520324
EL652,slope,22.7070025087005,37.91358730329831
EL653,soil_depth,22.325876136685594,36.97926577348753
ES111,soil_moisture,-8.465957047247466,43.125309753940996
ES113,soil_depth,-7.592299001938666,42.196802062032724
ES114,soil_moisture,-8.461919186323383,42.435023955700885
ES120,slope; soil_depth; soil_moisture,-5.99348051041279,43.29403321016044
ES130,slope; soil_moisture,-4.029981924041562,43.19781240004671
ES212,slope; soil_moisture,-2.19469590477368,43.14352886513575
ES213,slope,-2.85139562195766,43.23804029795432
ES241,salinity,-0.07186061567105376,42.201939732096555
ES242,soil_depth,-0.8170144288933471,40.660930276850486
ES243,dryness,-1.0639299406716536,41.61967488187789
ES300,dryness,-3.7165287212936917,40.49451122600729
ES411,dryness,-4.946180655557855,40.57064544923699
ES413,gdd,-5.840468763259284,42.6205510304568
ES415,dryness,-6.0658173329732605,40.80523118204138
ES417,soil_depth,-2.588821740497295,41.620653803982016
ES418,dryness,-4.846418952063083,41.63367081677897
ES419,dryness,-5.978680238610077,41.72687705900383
ES421,soil_depth; acidity; dryness,-1.9808038958747616,38.82530757395579
ES422,dryness,-3.827577108093598,38.926447429593246
ES423,soil_depth; dryness,-2.19527411167675,39.89560585094474
ES425,dryness,-4.146749639246686,39.79506234171085
ES431,dryness,-6.142883158847039,38.710426790129176
ES432,dryness,-6.160273010437342,39.71191682881277
ES511,soil_depth,1.9835534368894412,41.73048240127692
ES513,soil_depth; gdd,1.046377688597348,42.042075135050055
ES514,soil_depth,0.8161152822572397,41.08742112651702
ES521,acidity; dryness,-0.5699289991138007,38.478272357796634
