nuts3,year,yield_tha
EL307,2023,3.0649956522711053
EL412,2018,
EL412,2019,7.451720954214177
EL412,2020,6.971552460403745
EL412,2021,4.398616189714104
EL412,2022,1.5946546754333426
EL412,2023,8.423810935483367
EL413,2018,
EL413,2019,1.8440778313926123
EL413,2020,1.8545120525877818
EL413,2021,1.7228040818327772
EL413,2022,1.147526239915087
EL413,2023,2.7785963284674065
EL422,2018,
EL422,2019,7.469265991646438
EL422,2020,4.467732656084868
EL422,2021,3.6468814680925754
EL422,2022,3.0223331693635784
EL422,2023,2.8158923727793854
EL432,2018,
EL432,2019,4.362766051449131
EL432,2020,2.7544332062483043
EL432,2021,2.263874340101362
EL432,2022,1.3235498191202797
EL432,2023,1.802554149602539
EL433,2018,
EL433,2019,1.6236958305022378
EL433,2020,1.4649688532588216
EL433,2021,1.34023808891761
EL433,2022,0.9304783330200153
EL433,2023,3.442778140801464
EL434,2018,
EL434,2019,0.8501535297692605
EL434,2020,0.7450000644532835
EL434,2021,0.7378006100134995
EL434,2022,0.6868718517958274
EL434,2023,4.690272787352421
EL515,2018,
EL515,2019,4.180561708122778
EL515,2020,3.935136416017357
EL515,2021,3.1592255490428007
EL515,2022,2.782921225786385
EL515,2023,6.051772906500653
EL532,2018,
EL532,2019,3.677937919514198
EL532,2020,1.6579891144566243
EL532,2021,1.481521195874538
EL532,2022,6.737447243879893
EL532,2023,9.721273113209044
EL541,2018,
EL541,2019,7.734228491803219
EL541,2020,5.381523398708885
EL541,2021,3.925068364403526
EL541,2022,6.570961749956794
EL541,2023,15.202823650473524
EL542,2018,
EL542,2019,5.11709746905252
EL542,2020,3.0449869289860496
EL542,2021,1.9035311433805242
EL542,2022,4.09689469444401
EL542,2023,10.492525861272103
EL543,2018,
EL543,2019,5.659848544064322
EL543,2020,8.863470154852756
EL543,2021,2.158072760521938
EL543,2022,12.059798804051104
EL543,2023,11.415052861274715
EL621,2018,
EL621,2019,6.8689159168862215
EL621,2020,4.948966894640432
EL621,2021,3.736990945596124
EL621,2022,2.8768142929401375
EL621,2023,10.974533392504677
EL622,2018,
EL622,2019,13.291726249634387
EL622,2020,8.998505075631067
EL622,2021,5.794718661384243
EL622,2022,7.619212576646814
EL622,2023,15.014182870266202
EL623,2018,
EL623,2019,4.3611346428041
EL623,2020,1.4679530138029036
EL623,2021,1.2522157963431844
EL623,2022,1.3575185436047958
EL623,2023,6.505279613363545
EL624,2018,
EL624,2019,8.368171974682642
EL624,2020,3.750164915189461
EL624,2021,3.6833864502715397
EL624,2022,3.807030674099722
EL624,2023,10.144506922470816
EL631,2018,
EL631,2019,6.446732850856484
EL631,2020,1.6384667003603477
EL631,2021,3.7974507983809844
EL631,2022,6.555243238494346
EL631,2023,14.844127597961926
EL632,2018,
EL632,2019,3.146009008037986
EL632,2020,0.8896633043199101
EL632,2021,2.8985378756219506
EL632,2022,5.774208336282952
EL632,2023,11.456400594465515
EL641,2018,
EL641,2019,1.3791214246814476
EL641,2020,5.818131950534514
EL641,2021,2.6554898086067005
EL641,2022,1.76561064546548
EL641,2023,11.11873800550536
EL642,2018,
EL642,2019,1.024319384828174
EL642,2020,2.593970134803721
EL642,2021,2.342179979483967
EL642,2022,3.1747455086662897
EL642,2023,4.904659661953175
EL643,2018,
EL643,2019,6.159630944140696
EL643,2020,8.928683849235117
EL643,2021,2.8948011086773904
EL643,2022,12.271737122740028
EL643,2023,11.022538516138603
EL645,2018,
EL645,2019,7.601993535134802
EL645,2020,10.8302671586056
EL645,2021,3.599685035668982
EL645,2022,13.233436135136813
EL645,2023,16.91685244749722
EL651,2018,
EL651,2019,0.9298276336050134
EL651,2020,2.0883328590380135
EL651,2021,2.1515713632460995
EL651,2022,1.4348541743146594
EL651,2023,8.503079035762443
EL652,2018,
EL652,2019,0.967199066161111
EL652,2020,0.8362116370136251
EL652,2021,1.030651189924316
EL652,2022,1.0552426326120117
EL652,2023,3.2235336708313933
EL653,2018,
EL653,2019,0.7999565178125317
EL653,2020,1.869089071327849
EL653,2021,1.0246509732924909
EL653,2022,2.9342621527789023
EL653,2023,9.687244980285723
ES111,2018,
ES111,2019,7.87589083132566
ES111,2020,9.21846499165733
ES111,2021,9.182621362928533
ES111,2022,12.931717417163846
ES111,2023,14.32468006960759
ES113,2018,
ES113,2019,2.172329117302422
ES113,2020,2.0567700716567594
ES113,2021,3.8673323186451847
ES113,2022,6.538203953326596
ES113,2023,9.280503060277125
ES114,2018,
ES114,2019,9.023081447198681
ES114,2020,11.019246605545373
ES114,2021,10.324436106281212
ES114,2022,15.0022874697561
ES114,2023,16.566771827329156
ES120,2018,
ES120,2019,19.88687283500834
ES120,2020,16.36036009476497
ES120,2021,16.398194618444904
ES120,2022,20.668339330213158
ES120,2023,20.233703411141402
ES130,2018,
ES130,2019,18.568366750811368
ES130,2020,12.841479311303967
ES130,2021,17.784486518248677
ES130,2022,15.224345841707775
ES130,2023,19.614418104430914
ES212,2018,
ES212,2019,14.94244670860274
ES212,2020,12.127067296569308
ES212,2021,14.760845754833518
ES212,2022,13.594899798655785
ES212,2023,17.844310343301466
ES213,2018,
ES213,2019,16.92165446536274
ES213,2020,14.687426841339336
ES213,2021,17.193182908045724
ES213,2022,10.769106816092062
ES213,2023,17.761268724422372
ES241,2018,
ES241,2019,5.936936485422391
ES241,2020,13.42460556596944
ES241,2021,11.325180514008343
ES241,2022,6.330993276759267
ES241,2023,12.0878972703103
ES242,2018,
ES242,2019,0.5439736262841133
ES242,2020,2.4285546569532643
ES242,2021,3.7230480944679725
ES242,2022,1.6338800740019628
ES242,2023,4.509013170378572
ES417,2018,
ES417,2019,0.6124800324694895
ES417,2020,2.4387373069055145
ES417,2021,4.85024450501255
ES417,2022,0.838075353911295
ES417,2023,0.8399618680203346
ES421,2018,
ES421,2019,1.2356071789943603
ES421,2020,2.7413082750375843
ES421,2021,6.151742463257746
ES421,2022,1.222239194098419
ES421,2023,3.3461101420620163
ES423,2018,
ES423,2019,0.7313626873316125
ES423,2020,2.0145547979203644
ES423,2021,3.119780816859159
ES423,2022,0.8590883007656231
ES423,2023,3.5234901546321744
ES511,2018,
ES511,2019,11.271510781918343
ES511,2020,16.932050378783728
ES511,2021,2.8393678554895585
ES511,2022,10.54071414212519
ES511,2023,13.469815258480919
ES513,2018,
ES513,2019,4.376391077031035
ES513,2020,13.951655469325658
ES513,2021,6.989408400469538
ES513,2022,7.318189926660838
ES513,2023,10.144832787687207
ES514,2018,
ES514,2019,1.9773742324570553
ES514,2020,7.433548666007546
ES514,2021,2.463600804650169
ES514,2022,4.1723669193579855
