cal_year;stand_year;block;density;irrigation;FBY;FSY;FLY;DMY;DSY;DLY;height_cm;diameter_mm;tillers_m2;stem_frac
2023;12;1;1;1;20.0;15.086;4.914;12.4;8.0;4.4;296.0;8.56;45.0;645
2023;12;1;1;3;24.25;17.856;6.394;15.701;10.211;5.489;340.0;8.79;61.25;0.65
2023;12;1;2;2;20.25;15.503;4.747;13.091;8.823;4.268;297.0;8.57;55.0;674
2023;12;1;1;2;20.5;15.099;5.401;13.002;8.251;4.75;294.0;8.24;62.5;635
2023;12;1;2;3;27.0;19.8;7.2;17.955;11.627;6.328;320.0;9.64;65.25;648
2023;12;1;2;1;19.75;14.569;5.181;12.542;8.039;4.503;291.0;7.38;58.75;641
2023;12;1;1;0;18.75;14.485;4.265;12.2;8.611;3.589;283.0;7.1;40.0;706
2023;12;2;2;3;24.5;17.582;6.918;15.271;9.644;5.626;347.0;7.96;62.0;632
2023;12;2;1;2;20.25;15.499;4.751;13.272;9.124;4.147;297.0;7.44;60.0;688
2023;12;2;2;0;18.25;12.733;5.517;12.032;7.215;4.817;291.0;6.62;55.0;0.6
2023;12;2;1;1;19.0;13.19;5.81;12.314;7.857;4.457;267.0;7.17;57.5;638
2023;12;2;2;1;17.75;12.374;5.376;11.34;6.644;4.696;308.0;7.69;52.0;586
2023;12;2;1;0;20.0;13.614;6.386;12.887;7.539;5.348;290.0;6.86;46.25;585
2023;12;2;2;2;19.0;14.351;4.649;12.421;8.422;3.999;289.0;8.18;60.0;678
2023;12;2;1;3;28.0;19.513;8.487;18.143;11.36;6.783;326.0;9.72;66.5;626
2023;12;2;2;1;21.25;15.486;5.764;13.818;8.838;4.98;287.0;8.08;58.25;0.64
2023;12;2;2;0;15.75;12.136;3.614;10.386;7.228;3.158;286.0;7.47;48.75;696
2023;12;3;1;3;26.5;18.892;7.608;17.061;10.426;6.635;313.0;9.35;73.75;611
2023;12;3;1;2;22.25;17.037;5.213;14.479;9.943;4.536;294.0;8.21;63.75;687
2023;12;3;2;2;22.5;17.094;5.406;14.657;9.938;4.719;310.0;8.4;61.25;678
2023;12;3;2;3;26.75;19.675;7.075;17.382;11.361;6.021;311.0;9.19;57.5;654
2023;12;3;1;0;15.5;10.789;4.711;10.131;6.078;4.052;288.0;6.94;50.0;0.6
2023;12;3;1;1;20.75;15.746;5.004;13.623;9.275;4.348;296.0;7.78;55.0;681
2024;13;1;2;0;16.0;11.305;4.695;10.273;6.486;3.787;207.0;6.1;41.25;631
2024;13;1;1;1;16.25;12.012;4.238;10.413;6.755;3.658;278.0;7.29;46.25;649
2024;13;1;1;3;24.25;18.245;6.005;15.508;10.498;5.01;316.0;7.66;65.5;677
2024;13;1;2;2;17.75;13.626;4.124;11.206;7.71;3.496;297.0;7.646;47.5;688
2024;13;1;1;2;20.25;16.643;3.607;13.08;9.728;3.352;311.0;7.876;52.5;744
2024;13;1;2;3;25.0;19.977;5.023;15.81;11.488;4.322;314.0;8.89;61.25;727
2024;13;1;2;1;15.75;11.594;4.156;10.032;6.344;3.688;280.0;7.68;57.5;632
2024;13;1;1;0;14.75;11.442;3.308;9.337;6.347;2.99;224.0;6.897;37.5;0.68
2024;13;2;2;3;24.5;19.4;5.1;15.26;10.884;4.376;310.0;8.82;55.0;713
2024;13;2;1;2;19.25;14.679;4.571;12.093;8.176;3.917;306.0;7.43;50.0;676
2024;13;2;2;0;17.75;13.635;4.115;11.483;7.685;3.798;202.0;6.246;52.5;669
2024;13;2;1;1;18.5;15.018;3.482;11.677;8.406;3.271;258.0;6.57;63.75;0.72
2024;13;2;2;1;18.0;14.224;3.776;11.371;7.902;3.468;288.0;7.45;45.0;695
2024;13;2;1;0;16.5;12.768;3.732;10.385;6.94;3.444;215.0;7.25;43.75;668
2024;13;2;2;2;19.0;14.929;4.071;11.861;8.075;3.786;307.0;7.542;55.0;681
2024;13;2;1;3;26.25;21.0;5.25;16.373;11.539;4.834;310.0;8.41;65.0;705
2024;13;2;2;1;19.0;15.242;3.758;11.85;8.323;3.526;280.0;7.57;48.75;702
2024;13;2;2;0;18.25;13.454;4.796;11.396;6.994;4.403;225.0;6.636;57.5;614
2024;13;3;1;3;26.5;21.015;5.485;16.441;11.398;5.044;309.0;8.06;67.5;693
2024;13;3;1;2;22.5;18.127;4.373;14.009;10.104;3.906;302.0;8.0;61.25;721
2024;13;3;2;2;20.75;17.007;3.743;12.775;9.276;3.499;293.0;8.4;60.0;726
2024;13;3;2;3;24.75;19.654;5.096;15.546;11.147;4.399;306.0;8.5;62.5;717
2024;13;3;1;0;18.0;14.521;3.479;11.18;7.873;3.308;261.0;6.87;52.5;704
2024;13;3;1;1;20.75;16.106;4.644;13.008;8.646;4.362;261.0;6.87;50.0;665
2025;14;1;2;0;15.0;11.779;3.221;10.399;7.642;2.757;173.0;5.442;38.75;735
2025;14;1;1;1;15.5;12.237;3.263;10.491;7.954;2.537;260.0;6.41;43.0;758
2025;14;1;1;3;24.0;19.095;4.905;16.43;12.302;4.129;214.0;6.51;48.0;749
2025;14;1;2;2;17.5;13.715;3.785;11.928;8.872;3.056;280.0;7.29;52.5;744
2025;14;1;1;2;19.75;15.528;4.222;13.873;10.147;3.725;247.0;7.52;50.0;731
2025;14;1;2;3;22.25;16.36;5.89;15.651;10.798;4.854;301.0;8.78;55.5;0.69
2025;14;1;2;1;15.5;11.53;3.97;11.026;7.561;3.465;257.0;7.12;53.75;686
2025;14;1;1;0;14.0;11.086;2.914;9.739;7.227;2.512;209.0;7.22;36.5;742
2025;14;2;2;3;23.0;17.906;5.094;15.969;11.654;4.314;271.0;7.97;51.25;0.73
2025;14;2;1;2;19.25;14.161;5.089;13.365;9.217;4.148;270.0;7.03;47.25;0.69
2025;14;2;2;0;18.0;14.315;3.685;12.288;9.213;3.076;170.0;7.034;47.5;0.75
2025;14;2;1;1;18.0;14.738;3.262;12.151;9.595;2.556;263.0;6.6;58.5;0.79
2025;14;2;2;1;18.75;14.259;4.491;13.013;9.319;3.694;253.0;7.51;43.0;716
2025;14;2;1;0;16.5;12.809;3.691;11.176;8.361;2.815;199.0;6.9;41.25;748
2025;14;2;2;2;18.0;14.715;3.285;12.366;9.63;2.736;269.0;7.58;58.75;779
2025;14;2;1;3;24.75;20.392;4.358;17.034;13.29;3.745;273.0;7.65;47.0;0.78
2025;14;2;2;1;19.25;14.518;4.732;13.55;9.571;3.979;256.0;7.39;52.5;706
2025;14;2;2;0;18.25;13.433;4.817;12.604;8.754;3.849;214.0;7.585;54.5;695
2025;14;3;1;3;20.25;15.596;4.654;13.848;10.166;3.683;283.0;7.583;56.25;734
2025;14;3;1;2;20.25;13.24;7.01;13.812;8.567;5.244;279.0;7.734;53.75;0.62
2025;14;3;2;2;17.75;14.069;3.681;12.298;9.16;3.138;255.0;7.239;52.5;745
2025;14;3;2;3;24.0;18.203;5.797;16.426;11.844;4.582;297.0;8.17;57.25;721
2025;14;3;1;0;17.5;15.025;2.475;11.819;9.758;2.061;305.0;7.847;56.75;826
2025;14;3;1;1;19.5;15.22;4.28;13.403;9.988;3.415;279.0;7.82;55.5;745
2026;15;1;2;0;15.0;10.468;4.532;9.724;6.2;3.523;218.0;4.336;40.25;638
2026;15;1;1;1;15.75;10.837;4.913;9.074;5.447;3.627;281.7;5.951;43.75;0.6
2026;15;1;1;3;22.75;21.37;1.38;18.471;13.2;5.271;289.0;6.333;50.0;715
2026;15;1;2;2;17.5;13.791;3.709;12.047;9.01;3.036;301.0;6.836;47.75;748
2026;15;1;1;2;18.75;14.448;4.302;11.099;7.76;3.339;314.0;7.225;51.5;699
2026;15;1;2;3;23.25;18.658;4.592;15.836;12.316;3.521;290.0;7.065;53.75;778
2026;15;1;2;1;14.5;10.451;4.049;8.558;5.526;3.031;283.0;8.316;37.5;646
